area_type,availability,size,society,total_sqft,bath,balcony,price,site_location,crime_rate,essential_services_nearby
Plot  Area,Ready To Move,6 Bedroom,,4000,6.0,3.0,850.0,Viman Nagar,0.2527192223387821,hospital
Super built-up  Area,18-Aug,2 BHK,,1050,2.0,2.0,41.0,Vishrant Wadi,0.22953877016977997,petrol_pumps
Super built-up  Area,18-May,3 BHK,Saite G,1370,2.0,2.0,54.8,Wagholi,0.06898727689448458,school
Super built-up  Area,Ready To Move,2 BHK,Pyikad ,1036,2.0,2.0,39.37,Wakadewadi,0.925451387572879,petrol_pumps
Super built-up  Area,18-Jun,3 BHK,,1275,3.0,2.0,41.2,Wanowrie,0.19145650295751082,hospital
Super built-up  Area,Ready To Move,4 BHK,Brglede,2010,3.0,2.0,115.0,Warje,0.1938016733942205,school
Super built-up  Area,Ready To Move,2 BHK,,1418,2.0,2.0,106.0,Yerawada,0.6554059322746465,school
Super built-up  Area,Ready To Move,2 BHK,MenueNo,1265,2.0,2.0,46.6,Alandi Road,0.8970713150130701,hospital
Super built-up  Area,Ready To Move,3 BHK,ViensRK,1576,3.0,2.0,58.0,Ambegaon Budruk,0.4897026939224687,hospital
Super built-up  Area,Ready To Move,2 BHK,,1148,2.0,1.0,56.0,Anandnagar,0.057414596803217366,school
Super built-up  Area,Ready To Move,2 BHK,Makeser,1000,2.0,1.0,36.0,Aundh,0.7079270955355871,school
Super built-up  Area,Ready To Move,3 BHK,MJinala,1293,2.0,2.0,85.0,Aundh Road,0.342844177568566,school
Plot  Area,18-May,3 Bedroom,,1200,2.0,0.0,66.0,Balaji Nagar,0.662976174836892,petrol_pumps
Super built-up  Area,Ready To Move,2 BHK,Keids O,1210,2.0,3.0,75.0,Baner,0.11898117660339613,petrol_pumps
Built-up  Area,Ready To Move,2 BHK,SruntFa,1126,2.0,1.0,69.0,Baner road,0.3484270158519076,school
Built-up  Area,Ready To Move,3 BHK,,1840,4.0,1.0,175.0,Bhandarkar Road,0.2740786352616784,school
Built-up  Area,Ready To Move,3 BHK,DSestil,1440,2.0,0.0,70.0,Bhavani Peth,0.6181198512741514,school
Built-up  Area,Ready To Move,3 BHK,SamesHo,1300,2.0,2.0,52.0,Bibvewadi,0.7182936244174597,school
Super built-up  Area,Ready To Move,2 BHK,Bhmesy ,1276,2.0,2.0,75.0,Bopodi,0.029808360629028585,school
Plot  Area,Ready To Move,6 Bedroom,,600,4.0,2.0,105.0,Budhwar Peth,0.21345189295272982,hospital
Super built-up  Area,Ready To Move,2 BHK,Prtates,1216,2.0,1.0,83.0,Bund Garden Road,0.23006340091779198,petrol_pumps
Super built-up  Area,18-Apr,1 BHK,,840,1.0,0.0,75.0,Camp,0.04049653413347709,petrol_pumps
Plot  Area,Ready To Move,5 Bedroom,,1240,5.0,3.0,300.0,Chandan Nagar,0.8137382159240152,hospital
Built-up  Area,Ready To Move,2 BHK,Suiseit,1126,2.0,2.0,39.0,Dapodi,0.33597702525775053,hospital
Plot  Area,Ready To Move,1 Bedroom,,45,1.0,0.0,23.0,Deccan Gymkhana,0.08419695677778471,hospital
Super built-up  Area,18-May,2 BHK,Cee 2du,1162,2.0,0.0,65.0,Dehu Road,0.6207133331419826,school
Super built-up  Area,Ready To Move,2 BHK,Nillsre,1301,2.0,2.0,65.0,Dhankawadi,0.868054364575698,petrol_pumps
Super built-up  Area,19-Dec,1 BHK,Sabixtt,658,1.0,1.0,34.0,Dhayari Phata,0.6532094413066188,hospital
Plot  Area,Ready To Move,3 Bedroom,,1350,3.0,1.0,250.0,Dhole Patil Road,0.9428494239626379,hospital
Super built-up  Area,Ready To Move,3 BHK,Toindls,2500,3.0,2.0,280.0,Erandwane,0.10420843090445864,petrol_pumps
Built-up  Area,Ready To Move,1 BHK,Opamaan,78.03Sq. Meter,1.0,1.0,63.0,Fatima Nagar,0.6981943882789259,school
Built-up  Area,Ready To Move,3 BHK,Vailsaf,1208.51,3.0,2.0,42.0,Fergusson College Road,0.8527739573401896,school
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1133,2.0,2.0,38.41,Ganesh Peth,0.5741393991657945,school
Super built-up  Area,Ready To Move,3 BHK,LendaVi,1760,2.0,1.0,116.0,Ganeshkhind,0.41952851298529825,petrol_pumps
Super built-up  Area,Ready To Move,3 BHK,Prityel,1075,2.0,1.0,52.0,Ghorpade Peth,0.7940451751469888,school
Super built-up  Area,Ready To Move,2 BHK,DSousyl,940,2.0,1.0,25.38,Ghorpadi,0.8936837383123698,school
Super built-up  Area,Ready To Move,2 BHK,CMDewun,1145,2.0,2.0,57.0,Gokhale Nagar,0.6783866685954052,school
Super built-up  Area,Ready To Move,2 BHK,SNity S,1255 - 1350,2.0,0.0,67.73,Gultekdi,0.5354954140756634,petrol_pumps
Built-up  Area,Ready To Move,4 Bedroom,Saaintv,3900,5.0,1.0,550.0,Guruwar peth,0.9820294959751275,hospital
Super built-up  Area,Ready To Move,4 BHK,SNtua S,3300 - 3335,5.0,0.0,268.5,Hadapsar,0.501256531590877,petrol_pumps
Built-up  Area,Ready To Move,2 BHK,,1300,2.0,2.0,50.0,Hadapsar Industrial Estate,0.7043968413258295,petrol_pumps
Super built-up  Area,Ready To Move,3 BHK,Sariaat,2475,4.0,3.0,326.0,Hingne Khurd,0.9333979515208287,petrol_pumps
Super built-up  Area,Ready To Move,3 BHK,SGncy R,2040,3.0,,200.0,Jangali Maharaj Road,0.5768994139461519,school
Built-up  Area,Ready To Move,1 Bedroom,,1200,1.0,0.0,150.0,Kalyani Nagar,0.6824711145418348,school
Plot  Area,Ready To Move,4 Bedroom,,2420,4.0,1.0,190.0,Karve Nagar,0.20857063254888708,hospital
Built-up  Area,Ready To Move,2 BHK,ShdhiSa,1216,2.0,1.0,80.0,Karve Road,0.6503540418425917,school
Super built-up  Area,Ready To Move,3 BHK,Soire A,1459,2.0,1.0,110.0,Kasba Peth,0.21859964264767973,school
Super built-up  Area,Ready To Move,3 BHK,Soral C,1622,2.0,0.0,80.0,Katraj,0.6522344333246869,petrol_pumps
Super built-up  Area,Ready To Move,3 BHK,PuandHi,1843,3.0,2.0,85.0,Khadaki,0.17871108914395184,petrol_pumps
Super built-up  Area,20-Jan,2 BHK,DNncasa,1274,2.0,1.0,81.0,Khadki,0.09221805957691231,hospital
Plot  Area,Ready To Move,2 Bedroom,,600,1.0,1.0,52.0,Kharadi,0.8119509480568653,school
Super built-up  Area,Ready To Move,3 BHK,KencyRe,1430,2.0,1.0,69.5,Kondhwa,0.423336548953401,hospital
Plot  Area,Ready To Move,4 Bedroom,,1800,2.0,0.0,280.0,Kondhwa Budruk,0.1771057392321379,petrol_pumps
Super built-up  Area,Ready To Move,3 BHK,Dhalsh ,1565,2.0,2.0,57.91,Kondhwa Khurd,0.37273187876835645,school
Super built-up  Area,Ready To Move,3 BHK,Sorisa ,1670,3.0,2.0,160.0,Koregaon Park,0.5910794337608345,school
Super built-up  Area,Ready To Move,3 BHK,RothaVa,1695,3.0,2.0,150.0,Kothrud,0.8682233230150579,school
Super built-up  Area,Ready To Move,2 BHK,ISeekon,1410,2.0,2.0,75.0,Law College Road,0.26161446946963984,petrol_pumps
Super built-up  Area,Ready To Move,2 BHK,,1060,2.0,3.0,42.0,Laxmi Road,0.8194512413149875,hospital
Built-up  Area,Ready To Move,2 BHK,,1120,2.0,2.0,50.0,Lulla Nagar,0.904209349672356,hospital
Plot  Area,Ready To Move,2 Bedroom,,880,2.0,0.0,50.0,Mahatma Gandhi Road,0.9364267451438602,hospital
Super built-up  Area,19-Dec,2 BHK,DSata S,1083,2.0,1.0,32.49,Mangalwar peth,0.8013276621604827,school
Super built-up  Area,Ready To Move,3 BHK,,1435,3.0,3.0,57.2,Manik Bagh,0.24687739251559326,petrol_pumps
Super built-up  Area,Ready To Move,3 BHK,,1425,2.0,2.0,56.99,Market yard,0.7059765924369588,petrol_pumps
Super built-up  Area,Ready To Move,2 BHK,Chiteny,900,2.0,3.0,50.0,Model colony,0.5952016128655879,hospital
Built-up  Area,18-Feb,5 BHK,,2400,5.0,2.0,93.0,Mukund Nagar,0.5469942114485311,petrol_pumps
Built-up  Area,21-Dec,1 BHK,Bhe 2ko,693,1.0,1.0,34.3,Mundhawa,0.11746596600918946,school
Plot  Area,Ready To Move,3 Bedroom,,600,3.0,1.0,90.0,Nagar Road,0.6221946842311498,hospital
Super built-up  Area,20-Dec,4 BHK,KonteiT,2435,4.0,3.0,119.0,Nana Peth,0.8807046301592646,hospital
Super built-up  Area,18-Aug,3 BHK,DNionfl,1920,3.0,2.0,150.0,Narayan Peth,0.21037518948230904,hospital
Super built-up  Area,18-Mar,1 BHK,Prarkun,630,1.0,1.0,47.0,Narayangaon,0.2209092005645854,petrol_pumps
Super built-up  Area,Ready To Move,3 BHK,Prityel,1075,2.0,1.0,50.0,Navi Peth,0.7809196691104788,petrol_pumps
Plot  Area,Ready To Move,5 Bedroom,,1200,5.0,0.0,101.0,Padmavati,0.9036515676212437,petrol_pumps
Super built-up  Area,Ready To Move,1 BHK,PuonsSe,705,1.0,1.0,55.0,Parvati Darshan,0.25846275660458384,school
Super built-up  Area,18-Dec,3 BHK,,1200,2.0,2.0,75.6,Pashan,0.697998366692205,petrol_pumps
Super built-up  Area,Ready To Move,2 BHK,3Codeli,1532,2.0,2.0,62.0,Paud Road,0.6291621207343836,school
Super built-up  Area,Ready To Move,2 BHK,PuoodSk,1330,2.0,1.0,93.0,Pirangut,0.651267572461678,petrol_pumps
Plot  Area,Ready To Move,4 Bedroom,,1200,3.0,1.0,210.0,Prabhat Road,0.0538490178814609,school
Built-up  Area,Ready To Move,3 BHK,Nauha G,1530,2.0,2.0,60.0,Pune Railway Station,0.24359787633640573,school
Super built-up  Area,Ready To Move,2 BHK,,1105,2.0,2.0,42.0,Rasta Peth,0.3642730496957305,petrol_pumps
Plot  Area,Ready To Move,2 Bedroom,,1566,2.0,0.0,180.0,Raviwar Peth,0.580683607718948,school
Super built-up  Area,18-Jul,3 BHK,Shodsir,1630,3.0,1.0,95.1,Sadashiv Peth,0.11697048156894652,hospital
Built-up  Area,Ready To Move,2 BHK,,1256,2.0,1.0,62.8,Sahakar Nagar,0.6080625096930447,hospital
Built-up  Area,Ready To Move,6 BHK,Giaver ,1200,6.0,2.0,180.0,Salunke Vihar,0.740227807472672,hospital
Built-up  Area,Ready To Move,3 BHK,Saowson,1595,2.0,3.0,75.0,Sasson Road,0.9700845106767517,hospital
Super built-up  Area,Ready To Move,2 BHK,Hiestre,1000,2.0,2.0,53.0,Satara Road,0.48483214423391885,petrol_pumps
Super built-up  Area,Ready To Move,3 BHK,,1475,2.0,2.0,58.99,Senapati Bapat Road,0.982388271632466,school
Plot  Area,18-May,5 Bedroom,,2400,5.0,3.0,285.0,Shaniwar Peth,0.2743972998059804,petrol_pumps
Super built-up  Area,18-May,2 BHK,Sryalan,1000,2.0,1.0,28.88,Shivaji Nagar,0.6959325881243303,school
Plot  Area,Ready To Move,4 Bedroom,,2360,4.0,1.0,650.0,Shukrawar Peth,0.5097638447617483,petrol_pumps
Super built-up  Area,Ready To Move,3 BHK,,1737,2.0,3.0,95.0,Sinhagad Road,0.5727886720479879,petrol_pumps
Super built-up  Area,18-Aug,2 BHK,Sryalan,1000,2.0,1.0,28.88,Somwar Peth,0.5360621447494368,petrol_pumps
Super built-up  Area,Ready To Move,4 BHK,,2100,4.0,2.0,150.0,Swargate,0.44489518405255857,petrol_pumps
Built-up  Area,Ready To Move,8 Bedroom,,3600,6.0,1.0,145.0,Tilak Road,0.9204696968030053,school
Built-up  Area,Ready To Move,2 BHK,PrawnRa,883,2.0,1.0,50.0,Uruli Devachi,0.17219782623277935,hospital
Super built-up  Area,Ready To Move,2 BHK,,1243,2.0,2.0,46.0,Vadgaon Budruk,0.7881052292519859,hospital
Super built-up  Area,Ready To Move,3 BHK,Raide P,1776,2.0,3.0,75.0,Wadgaon Sheri,0.17557436239752544,school
Super built-up  Area,19-Dec,3 BHK,DSapeto,1347,2.0,1.0,37.72,Viman Nagar,0.8187066932425427,school
Super built-up  Area,Ready To Move,3 BHK,KKdenng,1330,2.0,2.0,55.0,Vishrant Wadi,0.06890628826035283,petrol_pumps
Plot  Area,Ready To Move,2 Bedroom,,600,2.0,1.0,120.0,Wagholi,0.8942588875090395,petrol_pumps
Built-up  Area,Ready To Move,4 BHK,,3730,4.0,3.0,370.0,Wakadewadi,0.08926717662182948,hospital
Super built-up  Area,Ready To Move,3 BHK,SomonCi,1459,3.0,2.0,135.0,Wanowrie,0.13114787704110886,petrol_pumps
Super built-up  Area,19-Dec,4 BHK,Bhe 2ko,2259,5.0,2.0,135.0,Warje,0.7494216171428429,petrol_pumps
Built-up  Area,Ready To Move,7 Bedroom,,2700,4.0,1.0,160.0,Yerawada,0.9156118069631528,hospital
Super built-up  Area,Ready To Move,2 BHK,,1008,2.0,2.0,32.25,Alandi Road,0.3544893548070972,school
Super built-up  Area,Ready To Move,2 BHK,Vaent V,1200,2.0,2.0,52.5,Ambegaon Budruk,0.6497659827898365,school
Super built-up  Area,18-May,4 BHK,Dheusag,2328,4.0,1.0,528.0,Anandnagar,0.49079024736038834,school
Plot  Area,Ready To Move,7 Bedroom,,600,7.0,3.0,110.0,Aundh,0.40038155835182254,hospital
Super built-up  Area,Ready To Move,2 BHK,Itelaa ,660,1.0,1.0,15.5,Aundh Road,0.11942282377694147,hospital
Super built-up  Area,Ready To Move,3 BHK,Brway G,1800,2.0,2.0,250.0,Balaji Nagar,0.5249994729626595,hospital
Super built-up  Area,Ready To Move,4 BHK,Brway G,3100,4.0,3.0,550.0,Baner,0.6830328426666994,school
Super built-up  Area,19-Aug,2 BHK,SMllay ,1180 - 1630,2.0,0.0,50.58,Baner road,0.4769101918037,school
Super built-up  Area,18-May,1 BHK,Prensya,602,1.0,1.0,26.0,Bhandarkar Road,0.33101080398531824,hospital
Super built-up  Area,Ready To Move,3 BHK,Asintas,1710,3.0,2.0,100.0,Bhavani Peth,0.16955268589544914,hospital
Super built-up  Area,Ready To Move,3 BHK,Adaveth,1500,2.0,3.0,82.0,Bibvewadi,0.4189740523577621,petrol_pumps
Built-up  Area,Ready To Move,3 BHK,VMlet C,1539,3.0,2.0,60.0,Bopodi,0.9892481865390991,petrol_pumps
Plot  Area,Ready To Move,6 Bedroom,,806,3.0,1.0,128.0,Budhwar Peth,0.6855177523446582,hospital
Super built-up  Area,20-Dec,3 BHK,PrarePa,1100,2.0,1.0,53.0,Bund Garden Road,0.7510362421746899,school
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1151,2.0,1.0,49.0,Camp,0.34352591130273213,petrol_pumps
Super built-up  Area,Ready To Move,2 BHK,,920,2.0,1.0,46.0,Chandan Nagar,0.6952298409318542,school
Super built-up  Area,Ready To Move,3 BHK,Prone M,1350,3.0,3.0,78.3,Dapodi,0.2804142999158813,petrol_pumps
Super built-up  Area,Ready To Move,2 BHK,Shissut,1200,2.0,2.0,65.0,Deccan Gymkhana,0.5970851435127721,school
Super built-up  Area,Ready To Move,2 BHK,,1265,2.0,1.0,78.0,Dehu Road,0.6578112195247067,petrol_pumps
Plot  Area,Ready To Move,8 Bedroom,,600,6.0,2.0,60.0,Dhankawadi,0.03864187953781195,school
Super built-up  Area,18-Apr,3 BHK,PualeSk,1700,3.0,2.0,93.5,Dhayari Phata,0.867733627783046,hospital
Built-up  Area,Ready To Move,3 Bedroom,,1600,3.0,0.0,75.0,Dhole Patil Road,0.5998036518720804,hospital
Built-up  Area,Ready To Move,4 Bedroom,,1550,4.0,1.0,120.0,Erandwane,0.15513247787972895,petrol_pumps
Built-up  Area,Ready To Move,3 BHK,SiineSu,1560,3.0,3.0,125.0,Fatima Nagar,0.7155298532996255,petrol_pumps
Plot  Area,18-Jan,6 Bedroom,,1000,5.0,3.0,98.0,Fergusson College Road,0.01236118094492955,petrol_pumps
Super built-up  Area,Ready To Move,2 BHK,RInceeg,1243,2.0,2.0,46.0,Ganesh Peth,0.39513870487059377,school
Plot  Area,Ready To Move,4 Bedroom,,1200,4.0,1.0,160.0,Ganeshkhind,0.4552369109170288,hospital
Super built-up  Area,Ready To Move,3 BHK,Arldsyo,1403,3.0,1.0,56.0,Ghorpade Peth,0.08743850246308615,petrol_pumps
Super built-up  Area,Ready To Move,2 BHK,,1010,2.0,1.0,40.39,Ghorpadi,0.045145484669727676,hospital
Super built-up  Area,Ready To Move,3 BHK,Sahtsva,1416,3.0,1.0,94.0,Gokhale Nagar,0.3271647191502376,school
Super built-up  Area,Ready To Move,2 BHK,,1628,2.0,2.0,68.0,Gultekdi,0.9696097305677668,petrol_pumps
Plot  Area,Ready To Move,4 Bedroom,,1660.4,4.0,2.0,211.0,Guruwar peth,0.8541954254825221,school
Super built-up  Area,Ready To Move,3 BHK,Eladero,1680,3.0,2.0,125.0,Hadapsar,0.41713837224457506,school
Super built-up  Area,Ready To Move,3 BHK,Prora F,1595,3.0,3.0,62.0,Hadapsar Industrial Estate,0.7776918765780776,hospital
Super built-up  Area,Ready To Move,3 BHK,Niacesa,1507,2.0,3.0,95.0,Hingne Khurd,0.7654221412245652,petrol_pumps
Super built-up  Area,Ready To Move,3 BHK,Prook M,2560,3.0,,288.0,Jangali Maharaj Road,0.23417991748267963,school
Super built-up  Area,Ready To Move,3 BHK,SaireSa,1949,3.0,1.0,133.0,Kalyani Nagar,0.9642758927890495,school
Plot  Area,Ready To Move,2 Bedroom,,800,2.0,1.0,175.0,Karve Nagar,0.7384406887793034,school
Built-up  Area,18-Dec,2 BHK,Sryalan,1000,2.0,1.0,28.88,Karve Road,0.25654692535213774,petrol_pumps
Super built-up  Area,20-Jun,2 BHK,,905,2.0,1.0,50.0,Kasba Peth,0.939355304085951,petrol_pumps
Super built-up  Area,Ready To Move,3 BHK,Taonte ,2480,3.0,2.0,245.0,Katraj,0.9650996607993397,school
Super built-up  Area,Ready To Move,3 BHK,,1495,3.0,,200.0,Khadaki,0.6446344915045376,school
Super built-up  Area,Ready To Move,3 BHK,,1605,3.0,3.0,105.0,Khadki,0.4856149454826679,petrol_pumps
Built-up  Area,Ready To Move,2 BHK,,1290,2.0,1.0,73.0,Kharadi,0.8724664371647506,school
Super built-up  Area,Ready To Move,2 BHK,Rarthne,1100,2.0,1.0,60.0,Kondhwa,0.713162814383858,hospital
Super built-up  Area,Ready To Move,6 BHK,,2100,6.0,0.0,92.0,Kondhwa Budruk,0.5339359068253212,school
Super built-up  Area,Ready To Move,2 BHK,,995,2.0,1.0,49.8,Kondhwa Khurd,0.6458711085507409,hospital
Plot  Area,Ready To Move,2 Bedroom,,500,2.0,1.0,55.0,Koregaon Park,0.24907545178171886,hospital
Super built-up  Area,Ready To Move,4 BHK,PhestOn,3526,4.0,3.0,598.0,Kothrud,0.28355281256400433,hospital
Super built-up  Area,Ready To Move,3 BHK,Apentir,1425,2.0,2.0,47.0,Law College Road,0.2624644398395023,school
Super built-up  Area,Ready To Move,3 BHK,,1455,2.0,2.0,55.0,Laxmi Road,0.4083079179487058,hospital
Super built-up  Area,Ready To Move,1 BHK,Prntsax,550,1.0,1.0,23.0,Lulla Nagar,0.8970264184083035,petrol_pumps
Super built-up  Area,Ready To Move,3 BHK,Shony S,1385,2.0,2.0,48.48,Mahatma Gandhi Road,0.7927459382841122,hospital
Plot  Area,Ready To Move,4 Bedroom,,7000,4.0,,210.0,Mangalwar peth,0.2587740608070107,petrol_pumps
Super built-up  Area,Ready To Move,5 BHK,,4000,3.0,0.0,130.0,Manik Bagh,0.28822044181131223,school
Super built-up  Area,18-May,2 BHK,,1060,2.0,1.0,53.0,Market yard,0.6066023374131707,hospital
Super built-up  Area,Ready To Move,3 BHK,,1080,2.0,2.0,75.0,Model colony,0.1876589739489377,hospital
Built-up  Area,Ready To Move,3 BHK,Giersin,1783,3.0,2.0,125.0,Mukund Nagar,0.28623751953495324,school
Super built-up  Area,18-Mar,3 BHK,SNnia E,1520,2.0,2.0,90.0,Mundhawa,0.5610246086047647,school
Super built-up  Area,Ready To Move,2 BHK,SavanBr,1060,2.0,1.0,55.0,Nagar Road,0.8242055183500063,school
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1267,2.0,1.0,54.35,Nana Peth,0.2767868986637311,hospital
Super built-up  Area,Ready To Move,2 BHK,,1155,2.0,2.0,55.0,Narayan Peth,0.2233633389384364,petrol_pumps
Built-up  Area,Ready To Move,3 Bedroom,CoinoCu,2500,3.0,2.0,180.0,Narayangaon,0.19661024787539705,school
Super built-up  Area,Ready To Move,2 BHK,MNikaas,1240,2.0,1.0,65.0,Navi Peth,0.3111095704146135,school
Super built-up  Area,Ready To Move,3 BHK,MJlese ,1570,3.0,2.0,78.0,Padmavati,0.5670004343627766,petrol_pumps
Super built-up  Area,Ready To Move,2 BHK,,1019,2.0,1.0,45.9,Parvati Darshan,0.21119039230600867,hospital
Super built-up  Area,Ready To Move,2 BHK,Veale R,1355,3.0,3.0,76.0,Pashan,0.23282404065578022,school
Super built-up  Area,Ready To Move,3 BHK,,1537,3.0,2.0,110.0,Paud Road,0.25183851753844655,hospital
Super built-up  Area,Ready To Move,4 BHK,UKe 2nz,4075,5.0,3.0,226.0,Pirangut,0.2887051444397035,school
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1550,3.0,3.0,52.45,Prabhat Road,0.7542202034469917,hospital
Built-up  Area,Ready To Move,2 BHK,Neess P,1100,2.0,1.0,50.0,Pune Railway Station,0.41509087187207605,petrol_pumps
Super built-up  Area,Ready To Move,3 BHK,Sorisa ,1750,3.0,2.0,150.0,Rasta Peth,0.7716260534840517,school
Super built-up  Area,18-Mar,2 BHK,HMigond,1466,2.0,2.0,71.0,Raviwar Peth,0.9271622494102659,hospital
Super built-up  Area,Ready To Move,3 BHK,Sovar S,1550,3.0,2.0,72.5,Sadashiv Peth,0.22924487890159062,hospital
Super built-up  Area,Ready To Move,3 BHK,DLhtsnd,2300,4.0,3.0,102.0,Sahakar Nagar,0.06469336466256193,school
Super built-up  Area,19-Aug,1 BHK,VBn 2lm,540,1.0,1.0,22.5,Salunke Vihar,0.17136995633748642,hospital
Plot  Area,Ready To Move,3 Bedroom,Hincy V,950,3.0,2.0,130.0,Sasson Road,0.4126428011709129,hospital
Built-up  Area,Ready To Move,7 Bedroom,,2800,7.0,1.0,250.0,Satara Road,0.6019331280738018,school
Super built-up  Area,Ready To Move,2 BHK,,1020,2.0,3.0,48.0,Senapati Bapat Road,0.9437895397176465,hospital
Super built-up  Area,Ready To Move,3 BHK,LeDuvMy,2880,3.0,2.0,501.0,Shaniwar Peth,0.6320062521232794,petrol_pumps
Super built-up  Area,Ready To Move,3 BHK,Prersis,1987,4.0,2.0,165.0,Shivaji Nagar,0.13312127611343394,school
Super built-up  Area,Ready To Move,2 BHK,Keers S,1305,2.0,1.0,75.0,Shukrawar Peth,0.5681905391907768,school
Built-up  Area,Ready To Move,4 Bedroom,,2100,3.0,1.0,125.0,Sinhagad Road,0.8347165304070591,petrol_pumps
Built-up  Area,18-Dec,2 BHK,,1125,2.0,1.0,32.5,Somwar Peth,0.8140725541237223,petrol_pumps
Super built-up  Area,Ready To Move,2 BHK,,1225,2.0,2.0,49.5,Swargate,0.42698351942655155,school
Super built-up  Area,Ready To Move,2 BHK,,1255,2.0,1.0,55.5,Tilak Road,0.6339563953753329,hospital
Super built-up  Area,Ready To Move,2 BHK,,1191,2.0,1.0,90.0,Uruli Devachi,0.4357603129018769,hospital
Plot  Area,Ready To Move,6 Bedroom,,3600,6.0,2.0,303.0,Vadgaon Budruk,0.9696891552882452,petrol_pumps
Built-up  Area,18-Dec,2 BHK,,1165,2.0,1.0,33.64,Wadgaon Sheri,0.058124169910025225,hospital
Super built-up  Area,18-Apr,2 BHK,,865,2.0,1.0,35.11,Viman Nagar,0.4805656362453741,petrol_pumps
Super built-up  Area,Ready To Move,3 BHK,,1850,2.0,2.0,88.0,Vishrant Wadi,0.33757130007707814,petrol_pumps
Super built-up  Area,Ready To Move,2 BHK,Asara S,497,1.0,1.0,17.0,Wagholi,0.5492535815453119,school
Super built-up  Area,19-Mar,2 BHK,Puachal,1232,2.0,2.0,89.0,Wakadewadi,0.10918435172431129,petrol_pumps
Super built-up  Area,21-Nov,3 BHK,Bhe 2ko,1732,3.0,3.0,85.73,Wanowrie,0.9567953218589745,petrol_pumps
Super built-up  Area,Ready To Move,3 BHK,PuziaVe,1614,2.0,1.0,100.0,Warje,0.3156458969285497,school
Built-up  Area,Ready To Move,2 BHK,Jaaveha,600,1.0,1.0,22.0,Yerawada,0.7002345212321935,petrol_pumps
Super built-up  Area,Ready To Move,3 BHK,Prtanha,2072,4.0,2.0,155.0,Alandi Road,0.18374656563463487,school
Super built-up  Area,Ready To Move,2 BHK,Itvir M,919,2.0,2.0,34.0,Ambegaon Budruk,0.2911085753604248,petrol_pumps
Built-up  Area,Ready To Move,4 Bedroom,,2100,4.0,1.0,90.0,Anandnagar,0.44315872843683024,school
Built-up  Area,Ready To Move,4 BHK,,672,3.0,1.0,54.0,Aundh,0.5324726096256616,school
Built-up  Area,Ready To Move,8 BHK,,800,6.0,3.0,110.0,Aundh Road,0.9174609734246193,hospital
Plot  Area,Ready To Move,3 Bedroom,AreraRe,1200,3.0,1.0,150.0,Balaji Nagar,0.15211613601478668,petrol_pumps
Super built-up  Area,Ready To Move,4 BHK,SoliaMa,2849,5.0,,250.0,Baner,0.3119060459714864,school
Built-up  Area,Ready To Move,2 BHK,Mavelr ,1000,2.0,2.0,42.0,Baner road,0.2606037311131182,hospital
Super built-up  Area,Ready To Move,2 BHK,Prtates,1216,2.0,1.0,75.0,Bhandarkar Road,0.7275879091677445,hospital
Super built-up  Area,Ready To Move,4 BHK,Soiewre,2245,4.0,2.0,154.0,Bhavani Peth,0.852366105481959,petrol_pumps
Super built-up  Area,18-Feb,3 BHK,Baanise,1476,3.0,1.0,125.0,Bibvewadi,0.8468346732524886,school
Super built-up  Area,Ready To Move,3 BHK,SoechHa,1852,3.0,2.0,130.0,Bopodi,0.3360792575593978,hospital
Super built-up  Area,18-Aug,2 BHK,,1225,2.0,2.0,47.0,Budhwar Peth,0.5486270720688402,hospital
Super built-up  Area,Ready To Move,3 BHK,Skinaa ,1597,3.0,1.0,67.12,Bund Garden Road,0.7574278903233299,hospital
Super built-up  Area,19-Dec,3 BHK,Ceezey ,2423,4.0,3.0,160.0,Camp,0.23382239818648398,petrol_pumps
Super built-up  Area,19-Mar,2 BHK,PrensKe,1152,2.0,1.0,90.0,Chandan Nagar,0.5515408931041013,hospital
Super built-up  Area,Ready To Move,3 BHK,,1762,3.0,2.0,133.0,Dapodi,0.9557018932864498,hospital
Plot  Area,Ready To Move,3 Bedroom,Daden G,1400,3.0,2.0,92.0,Deccan Gymkhana,0.4658754478066499,petrol_pumps
Super built-up  Area,Ready To Move,3 BHK,Sovar S,1530,2.0,2.0,74.4,Dehu Road,0.6932091610136418,petrol_pumps
Plot  Area,Ready To Move,6 Bedroom,,2400,6.0,3.0,400.0,Dhankawadi,0.5560517845253097,hospital
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1185,2.0,2.0,40.17,Dhayari Phata,0.8840087348268734,school
Super built-up  Area,18-May,3 BHK,Miitat ,1890,3.0,2.0,108.0,Dhole Patil Road,0.4457410673053427,petrol_pumps
Super built-up  Area,Ready To Move,3 BHK,,1247,2.0,2.0,58.0,Erandwane,0.26358030201749094,school
Plot  Area,Ready To Move,8 Bedroom,,700,4.0,,104.0,Fatima Nagar,0.34768390497232815,hospital
Plot  Area,Ready To Move,6 Bedroom,,1000,6.0,3.0,275.0,Fergusson College Road,0.5010523010752964,hospital
Super built-up  Area,Ready To Move,2 BHK,,1201,2.0,2.0,59.99,Ganesh Peth,0.7597202048089713,hospital
